Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.7 ,Does This Case Fulfil the Local Criteria for an Expedited Report?,-,Boolean,"false, true, nullFlavor:NI*",Required,"*’nullFlavor’ is only allowed when sender is retransmitting a case that was first received ICH E2B (R2) format, where the equivalent data element for C.1.7 was optionally not populated; in other cases, only ‘false’ or ‘true’ should be used.",-,FDA does not support use of the nullFlavor 'NI' for this data element in initial submissions. Initial submissions with nullFlavor NI will be rejected.,-,FDA does not support use of the nullFlavor 'NI' for this data element in initial submissions. Initial submissions with nullFlavor NI will be rejected.,,,,,"Note: FDA has applied a regional rule requiring an observation code to specify values for the different types of ""true"" or ""false"".  See FDA element ""Local Criteria Report Type"" for more information.",Conforms with ICH business rules,,Yes,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.19,Boolean (BL),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='23'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][observationEvent/code[@code='23'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/observationEvent[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,C.1,FDA.C.1.7.1,Local Criteria Report Type,1,N,"<Observation><code>= C54588.  
1=15-Day
2=Non-Expedited AE
4=5-Day 
5=30-Day
6=7-Day",-,-,Required,"Use element values 4 for remedial action to prevent an unreasonable risk of substantial harm to the public health.

Use element values 5 for malfunction with no associated adverse event.

If Combination Product Report Indicator (FDA.C.1.12) = true and Does This Case Fulfil the Local Criteria for an Expedited Report? (C.1.7) = true, Observation Code: (Value allowed: 1, 4)

If Combination Product Report Indicator (FDA.C.1.12) = true and Does This Case Fulfil the Local Criteria for an Expedited Report? (C.1.7) = False or NI, Observation Code: (Value allowed: 2, 5)

If Combination Product Report Indicator (FDA.C.1.12) = False or NI and Does This Case Fulfil the Local Criteria for an Expedited Report? (C.1.7) = true, Observation Code: (Value allowed: 1) 

If Combination Product Report Indicator (FDA.C.1.12) = False or NI and Does This Case Fulfil the Local Criteria for an Expedited Report? (C.1.7) = False or NI, Observation Code: (Value allowed: 2)",Required,"For 15-Day or 7-Day Expedited report, if Does This Case Fulfil the Local Criteria for an Expedited Report? (C.1.7) = True and Type of Report (C.1.3) = 2 (Report from Study) then Observation Code: (Value allowed: 1, 6) respectively.",30,AN,"<Observation><code>= C54588.  
1=15-Day
2=Non-Expedited AE
4=5-Day 
5=Malfunction only (No AE)",Mandatory,"If Combination Product Report Flag = true
and C.1.7 = true, Observation Code:  (Value options: 5, 15)

If Combination Product Report Flag = true
and C.1.7 = False or NI, Observation Code: (Value options: Non Expedited AE, Malfunction only/No AE)

If Combination Product Report Flag = False or NI: 
and C.1.7 = true, Observation Code set to 1 (15 day) 

If Combination Product Report Flag = False or NI: 
and C.1.7 = False or NI, Observation Code set to 3 (Non Expedited AE)",New FDA regional data element,,No,No,No,No,No,No,No,No,No,"2.16.840.1.113883.3.26.1.1
2.16.840.1.113883.3.989.5.1.2.2.1.1.1 ",Coded With Equivalents (CE),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.19']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='CE'][@codeSystem='2.16.840.1.113883.3.989.5.1.2.2.1.1.1']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.8.1,Worldwide Unique Case Identification,100,AN,Free text (See C.1.1 user guidance for format),Required ,"Both the ‘Sender's (case) Safety Report Unique Identifier’ (C.1.1) and the ‘Worldwide Unique Case Identification’ (C.1.8) data elements are mapped to the repeatable XML attribute<id> in the ‘investigationEvent’ entity in the HL7 ICSR model. (See the Reference Instance)ICH uses two values - ‘2.16.840.1.113883.3.989.2.1.3.1’ and ‘2.16.840.1.113883.3.989.2.1.3.2’ in the root portion of the investigationEvent.id to distinguish C.1.1 and C.1.8.
The following notation will be used to represent C.1.1:
<id extension=""country code-company name-report no"" root="" 2.16.840.1.113883.3.989.2.1.3.1 ""/>
The following notation will be used to represent C.1.8:
<id extension=""country code-company name-report no"" root="" 2.16.840.1.113883.3.989.2.1.3.2""/>
Although the attribute <id> can repeat in the message, but there must be a single instance of the <id> attribute with the root value of ‘2.16.840.1.113883.3.989.2.1.3.2 ‘ for a particular case safety report.",-,-,-,-,,,,,Note: The Specifications for Preparing and Submitting Postmarket Individual Case Safety Reports (ICSRs) for Vaccines document provides additional user guidance for this field.,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.2,Instance Identifier (II),extension=Character String(ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.2'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.8.2,First Sender of This Case,1,N,1=Regulator 2=Other,Required ,,-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.3,Coded With Equivalents (CE),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][1]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.3']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.9.1 ,Other Case Identifiers in Previous Transmissions,-,Boolean,"true, nullFlavor: NI",Required ,False is not a value allowed for this data element. This required data element should either be ‘true’ or ‘nullFlavor’.,-,-,-,-,,,,,,Conforms with ICH business rules,,Yes,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.23,Boolean (BL),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.23']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.23']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.9.1.r ,(Header),Source(s) of the Case Identifier(s) (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/id],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.9.1.r ,C.1.9.1.r.1 ,Source(s) of the Case Identifier,100,AN,Free Text,Conditional-Required,"Optional, but required if C.1.9.1=‘true’.

The following notation will be used to represent C.1.9.1.r.1:
<idassigningAuthorityName=""C.1.9.1.r.1"" extension=""C.1.9.1.r.2"" root=""2.16.840.1.113883.3.989.2.1.3.3""/>

The root indicates the namespace of C.1.9.1, the actual ‘Source of the Case Identifier’ (C.1.9.1.r.1) and the ‘Case Identifier’ (C.1.9.1.r.2) are populated at id and extension, respectively.",-,If Other Case Identifiers in Previous Transmissions (C.1.9.1) = true then Source(s) of the Case Identifier (C.1.9.1.r.1) cannot be empty,-,-,,,,,Note: FDA will provide a warning (and not reject) if C.1.9.1 = true and C.1.9.1.r.1 is not provided.,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.3,Instance Identifier (II),"assigningAuthorityName=
Character String (ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/id][r]/controlActEvent/id[@root='2.16.840.1.113883.3.989.2.1.3.3'][1]/@assigningAuthorityName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.9.1.r ,C.1.9.1.r.2 ,Case Identifier(s),100,AN,Free Text (See C.1.1 user guidance for format),Conditional-Required,"Optional, but required if C.1.9.1=‘true’.

The following notation will be used to represent C.1.9.1.r.2:
<idassigningAuthorityName=""C.1.9.1.r.1"" extension=""C.1.9.1.r.2"" root=""2.16.840.1.113883.3.989.2.1.3.3""/>
The root indicates the namespace of C.1.9.1, the actual source of the case identifier (C.1.9.1.r.1) and case identifier (C.1.9.1.r.2) are populated at id and extension, respectively.",-,If Other Case Identifiers in Previous Transmissions (C.1.9.1) = true and Source(s) of the Case Identifier (C.1.9.1.r.1) is available then Case Identifier(s) (C.1.9.1.r.2) cannot be empty,-,-,,,,,Note: FDA will provide a warning (and not reject) if C.1.9.1 = true and C.1.9.1.r.1 is not provided.,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.3,Instance Identifier (II),"extension=
Character String(ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/id][r]/controlActEvent/id[@root='2.16.840.1.113883.3.989.2.1.3.3'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.10.r ,(Header),Identification Number of the Report Which Is Linked to This Report (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1.10.r ,C.1.10.r ,Identification Number of the Report Which Is Linked to This Report ,100,AN,Free Text,Optional,,-,-,-,"If Patient (name or initials) (D.1) = AGGREGRATE, then Identification Number of the Report Which Is Linked to This Report (C.1.10.r ) should be provided  for all Sender’s (case) Safety Report Unique Identifier (C.1.1) that makes up an Aggregate Analysis as per 312.32(c)(1)(i)(C)",,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.3.2,Instance Identifier (II),"extension=
Character String(ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code/@nullFlavor='NA'][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.2'][1]/@extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.11.1 ,Report Nullification / Amendment,1,N,"1=Nullification   
2=Amendment",Optional,,-,Initial report cannot be a nullified or amendent report ,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.5,Coded With Equivalents (CE),"code=
Character String (ST)",/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='3'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.23']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='CE'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.5']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.1 ,C.1.11.2 ,Reason for Nullification / Amendment,2000,AN,Free Text,Conditional-Required,"Optional, but required when C.1.11.1 is populated.",-,-,-,-,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,2.16.840.1.113883.3.989.2.1.1.23,Coded With Equivalents (CE),originalText = Encapsulated Data (ED),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='4'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.23']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='CE']/originalText/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDA,C.1,FDA.C.1.12,Combination Product Report Indicator,-,Boolean,"<Observation><code>= C156384.  
false, true, nullFlavor:NI",-,-,Required,Guidance: Required per FDA Regional guidance.,Required,-,,,,Mandatory,Required per FDA Regional guidance.,New FDA regional data element,,Yes,No,No,No,No,No,No,No,No,,Boolean (BL),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ'][investigationCharacteristic/code[@code='1'][@codeSystem='2.16.840.1.113883.3.989.5.1.2.2.1.3']][1]/investigationCharacteristic[@classCode='OBS'][@moodCode='EVN']/value[@xsi:type='BL']/@value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r ,(Header),Primary Source(s) of Information (repeat as necessary),-,-,-,-,"Each ICSR shall have one primary reporter (primary source) identified in conformance with regional confidentiality requirements.
Depending on the local legal requirements regarding confidentiality, it might be necessary to mask some of the elements used to identify the reporter in the transmitted message.
If the elements that are being used to identify the reporter are known to the sender but cannot be transmitted due to data privacy requirements, then those data elements should be left blank with nullFlavor = MSK.
Please see Section 3.3.6 for further guidance on the use of nullFlavor to describe missing or non-transmitted information.",-,-,-,-,,-,,,,-,4.2 (014),-,-,-,-,-,-,-,-,,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.1,(Header),Reporter's Name,-,-,-,-,-,-,-,-,-,,,,,,-,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.1 ,C.2.r.1.1,Reporter’s Title,50,AN,"Free text   nullFlavor: MSK, ASKU, NASK, UNK",Optional,See the business rules for C.2.r.,-,-,-,-,,,,,,Conforms with ICH business rules,,No,Yes,Yes,No,Yes,Yes,No,No,No,-,Person Name (PN),prefix=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/prefix[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/prefix[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.2.r.1 ,C.2.r.1.2 ,Reporter’s Given Name,60,AN,"Free Text  nullFlavor: MSK, ASKU, NASK  ",Optional,See the business rules for C.2.r.,-,-,-,-,,,,Conditional-Mandatory,"This field is required when C.2.r.5 = 1
Note: MSK is not allowed for US cases when C.2.r.3 Reporter's Country Code = ""US""","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,Yes,No,No,Yes,Yes,No,No,No,-,Person Name (PN),given=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/given[1]/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/outboundRelationship[@typeCode='SPRT'][relatedInvestigation/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.22']][r]/relatedInvestigation[@classCode='INVSTG'][@moodCode='EVN']/subjectOf2[@typeCode='SUBJ']/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/given[1]/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
